year month day nasdaq oil
2.019000000000000000e+03 5.000000000000000000e+00 2.000000000000000000e+01 7.702379882999999609e+03 6.311999999999999744e+01
2.019000000000000000e+03 5.000000000000000000e+00 2.100000000000000000e+01 7.785720215000000280e+03 6.302000000000000313e+01
2.019000000000000000e+03 5.000000000000000000e+00 2.200000000000000000e+01 7.750839844000000085e+03 6.142000000000000171e+01
2.019000000000000000e+03 5.000000000000000000e+00 2.300000000000000000e+01 7.628279784999999720e+03 5.764999999999999858e+01
2.019000000000000000e+03 5.000000000000000000e+00 2.400000000000000000e+01 7.637009765999999217e+03 5.839999999999999858e+01
2.019000000000000000e+03 5.000000000000000000e+00 2.800000000000000000e+01 7.607350098000000798e+03 5.890999999999999659e+01
2.019000000000000000e+03 5.000000000000000000e+00 2.900000000000000000e+01 7.547310059000000365e+03 5.884000000000000341e+01
2.019000000000000000e+03 5.000000000000000000e+00 3.000000000000000000e+01 7.567720215000000280e+03 5.646999999999999886e+01
2.019000000000000000e+03 5.000000000000000000e+00 3.100000000000000000e+01 7.453149901999999202e+03 5.349000000000000199e+01
2.019000000000000000e+03 6.000000000000000000e+00 3.000000000000000000e+00 7.333020019999999931e+03 5.325000000000000000e+01
2.019000000000000000e+03 6.000000000000000000e+00 4.000000000000000000e+00 7.527120117000000391e+03 5.350000000000000000e+01
2.019000000000000000e+03 6.000000000000000000e+00 5.000000000000000000e+00 7.575479980000000069e+03 5.157000000000000028e+01
2.019000000000000000e+03 6.000000000000000000e+00 6.000000000000000000e+00 7.615549804999999651e+03 5.259000000000000341e+01
2.019000000000000000e+03 6.000000000000000000e+00 7.000000000000000000e+00 7.742100098000000798e+03 5.395000000000000284e+01
2.019000000000000000e+03 6.000000000000000000e+00 1.000000000000000000e+01 7.823169922000000042e+03 5.332999999999999829e+01
2.019000000000000000e+03 6.000000000000000000e+00 1.100000000000000000e+01 7.822569823999999244e+03 5.329999999999999716e+01
2.019000000000000000e+03 6.000000000000000000e+00 1.200000000000000000e+01 7.792720215000000280e+03 5.113000000000000256e+01
2.019000000000000000e+03 6.000000000000000000e+00 1.300000000000000000e+01 7.837129882999999609e+03 5.238000000000000256e+01
2.019000000000000000e+03 6.000000000000000000e+00 1.400000000000000000e+01 7.796660155999999915e+03 5.246999999999999886e+01
2.019000000000000000e+03 6.000000000000000000e+00 1.700000000000000000e+01 7.845020019999999931e+03 5.193999999999999773e+01
2.019000000000000000e+03 6.000000000000000000e+00 1.800000000000000000e+01 7.953879882999999609e+03 5.385999999999999943e+01
2.019000000000000000e+03 6.000000000000000000e+00 1.900000000000000000e+01 7.987319823999999244e+03 5.374000000000000199e+01
2.019000000000000000e+03 6.000000000000000000e+00 2.000000000000000000e+01 8.051339844000000085e+03 5.688000000000000256e+01
2.019000000000000000e+03 6.000000000000000000e+00 2.100000000000000000e+01 8.031709960999999566e+03 5.735000000000000142e+01
2.019000000000000000e+03 6.000000000000000000e+00 2.400000000000000000e+01 8.005700195000000349e+03 5.772999999999999687e+01
2.019000000000000000e+03 6.000000000000000000e+00 2.500000000000000000e+01 7.884720215000000280e+03 5.763000000000000256e+01
2.019000000000000000e+03 6.000000000000000000e+00 2.600000000000000000e+01 7.909970215000000280e+03 5.917000000000000171e+01
2.019000000000000000e+03 6.000000000000000000e+00 2.700000000000000000e+01 7.967759765999999217e+03 5.917999999999999972e+01
2.019000000000000000e+03 6.000000000000000000e+00 2.800000000000000000e+01 8.006240234000000783e+03 5.820000000000000284e+01
2.019000000000000000e+03 7.000000000000000000e+00 1.000000000000000000e+00 8.091160155999999915e+03 5.890999999999999659e+01
2.019000000000000000e+03 7.000000000000000000e+00 2.000000000000000000e+00 8.109089844000000085e+03 5.600000000000000000e+01
2.019000000000000000e+03 7.000000000000000000e+00 3.000000000000000000e+00 8.170229980000000069e+03 5.706000000000000227e+01
2.019000000000000000e+03 7.000000000000000000e+00 8.000000000000000000e+00 8.098379882999999609e+03 5.735000000000000142e+01
2.019000000000000000e+03 7.000000000000000000e+00 9.000000000000000000e+00 8.141729980000000069e+03 5.757000000000000028e+01
2.019000000000000000e+03 7.000000000000000000e+00 1.000000000000000000e+01 8.202530273000000307e+03 6.028000000000000114e+01
2.019000000000000000e+03 7.000000000000000000e+00 1.100000000000000000e+01 8.196040038999999524e+03 5.992999999999999972e+01
2.019000000000000000e+03 7.000000000000000000e+00 1.200000000000000000e+01 8.244139648000000307e+03 5.999000000000000199e+01
2.019000000000000000e+03 7.000000000000000000e+00 1.500000000000000000e+01 8.258190430000000561e+03 5.929999999999999716e+01
2.019000000000000000e+03 7.000000000000000000e+00 1.600000000000000000e+01 8.222799805000000561e+03 5.743999999999999773e+01
2.019000000000000000e+03 7.000000000000000000e+00 1.700000000000000000e+01 8.185209960999999566e+03 5.650000000000000000e+01
2.019000000000000000e+03 7.000000000000000000e+00 1.800000000000000000e+01 8.207240234000000783e+03 5.507999999999999829e+01
2.019000000000000000e+03 7.000000000000000000e+00 1.900000000000000000e+01 8.146490234000000783e+03 5.542000000000000171e+01
2.019000000000000000e+03 7.000000000000000000e+00 2.200000000000000000e+01 8.204139648000000307e+03 5.586999999999999744e+01
2.019000000000000000e+03 7.000000000000000000e+00 2.300000000000000000e+01 8.251400390999999217e+03 5.657999999999999829e+01
2.019000000000000000e+03 7.000000000000000000e+00 2.400000000000000000e+01 8.321500000000000000e+03 5.589999999999999858e+01
2.019000000000000000e+03 7.000000000000000000e+00 2.500000000000000000e+01 8.238540038999999524e+03 5.588000000000000256e+01
2.019000000000000000e+03 7.000000000000000000e+00 2.600000000000000000e+01 8.330209961000000476e+03 5.603999999999999915e+01
2.019000000000000000e+03 7.000000000000000000e+00 2.900000000000000000e+01 8.293330078000000867e+03 5.685000000000000142e+01
2.019000000000000000e+03 7.000000000000000000e+00 3.000000000000000000e+01 8.273610351999999693e+03 5.803999999999999915e+01
2.019000000000000000e+03 7.000000000000000000e+00 3.100000000000000000e+01 8.175419922000000042e+03 5.853000000000000114e+01
2.019000000000000000e+03 8.000000000000000000e+00 1.000000000000000000e+00 8.111120117000000391e+03 5.364000000000000057e+01
2.019000000000000000e+03 8.000000000000000000e+00 2.000000000000000000e+00 8.004069823999999244e+03 5.567000000000000171e+01
2.019000000000000000e+03 8.000000000000000000e+00 5.000000000000000000e+00 7.726040039000000434e+03 5.463000000000000256e+01
2.019000000000000000e+03 8.000000000000000000e+00 6.000000000000000000e+00 7.833270019999999931e+03 5.360000000000000142e+01
2.019000000000000000e+03 8.000000000000000000e+00 7.000000000000000000e+00 7.862830077999999958e+03 5.114000000000000057e+01
2.019000000000000000e+03 8.000000000000000000e+00 8.000000000000000000e+00 8.039160155999999915e+03 5.260000000000000142e+01
2.019000000000000000e+03 8.000000000000000000e+00 9.000000000000000000e+00 7.959140137000000323e+03 5.440999999999999659e+01
2.019000000000000000e+03 8.000000000000000000e+00 1.200000000000000000e+01 7.863410155999999915e+03 5.497999999999999687e+01
2.019000000000000000e+03 8.000000000000000000e+00 1.300000000000000000e+01 8.016359862999999677e+03 5.704999999999999716e+01
2.019000000000000000e+03 8.000000000000000000e+00 1.400000000000000000e+01 7.773939940999999635e+03 5.515999999999999659e+01
2.019000000000000000e+03 8.000000000000000000e+00 1.500000000000000000e+01 7.766620117000000391e+03 5.450999999999999801e+01
2.019000000000000000e+03 8.000000000000000000e+00 1.600000000000000000e+01 7.895990234000000783e+03 5.482999999999999829e+01
2.019000000000000000e+03 8.000000000000000000e+00 1.900000000000000000e+01 8.002810059000000365e+03 5.624000000000000199e+01
2.019000000000000000e+03 8.000000000000000000e+00 2.000000000000000000e+01 7.948560059000000365e+03 5.617999999999999972e+01
2.019000000000000000e+03 8.000000000000000000e+00 2.100000000000000000e+01 8.020209960999999566e+03 5.564999999999999858e+01
2.019000000000000000e+03 8.000000000000000000e+00 2.200000000000000000e+01 7.991390137000000323e+03 5.532999999999999829e+01
2.019000000000000000e+03 8.000000000000000000e+00 2.300000000000000000e+01 7.751770019999999931e+03 5.407999999999999829e+01
2.019000000000000000e+03 8.000000000000000000e+00 2.600000000000000000e+01 7.853740234000000783e+03 5.353999999999999915e+01
2.019000000000000000e+03 8.000000000000000000e+00 2.700000000000000000e+01 7.826950195000000349e+03 5.499000000000000199e+01
2.019000000000000000e+03 8.000000000000000000e+00 2.800000000000000000e+01 7.856879882999999609e+03 5.575999999999999801e+01
2.019000000000000000e+03 8.000000000000000000e+00 2.900000000000000000e+01 7.973390137000000323e+03 5.667000000000000171e+01
2.019000000000000000e+03 8.000000000000000000e+00 3.000000000000000000e+01 7.962879882999999609e+03 5.507000000000000028e+01
2.019000000000000000e+03 9.000000000000000000e+00 3.000000000000000000e+00 7.874160155999999915e+03 5.390999999999999659e+01
2.019000000000000000e+03 9.000000000000000000e+00 4.000000000000000000e+00 7.976879882999999609e+03 5.621999999999999886e+01
2.019000000000000000e+03 9.000000000000000000e+00 5.000000000000000000e+00 8.116830077999999958e+03 5.632999999999999829e+01
2.019000000000000000e+03 9.000000000000000000e+00 6.000000000000000000e+00 8.103069823999999244e+03 5.645000000000000284e+01
2.019000000000000000e+03 9.000000000000000000e+00 9.000000000000000000e+00 8.087439940999999635e+03 5.788000000000000256e+01
2.019000000000000000e+03 9.000000000000000000e+00 1.000000000000000000e+01 8.084160155999999915e+03 5.736999999999999744e+01
2.019000000000000000e+03 9.000000000000000000e+00 1.100000000000000000e+01 8.169680176000000756e+03 5.565999999999999659e+01
2.019000000000000000e+03 9.000000000000000000e+00 1.200000000000000000e+01 8.194469726999999693e+03 5.513000000000000256e+01
2.019000000000000000e+03 9.000000000000000000e+00 1.300000000000000000e+01 8.176709960999999566e+03 5.475999999999999801e+01
2.019000000000000000e+03 9.000000000000000000e+00 1.600000000000000000e+01 8.153540039000000434e+03 6.310000000000000142e+01
2.019000000000000000e+03 9.000000000000000000e+00 1.700000000000000000e+01 8.186020019999999931e+03 5.925999999999999801e+01
2.019000000000000000e+03 9.000000000000000000e+00 1.800000000000000000e+01 8.177390137000000323e+03 5.818999999999999773e+01
2.019000000000000000e+03 9.000000000000000000e+00 1.900000000000000000e+01 8.182879882999999609e+03 5.818999999999999773e+01
2.019000000000000000e+03 9.000000000000000000e+00 2.000000000000000000e+01 8.117669922000000042e+03 5.792000000000000171e+01
2.019000000000000000e+03 9.000000000000000000e+00 2.300000000000000000e+01 8.112459960999999566e+03 5.868999999999999773e+01
2.019000000000000000e+03 9.000000000000000000e+00 2.400000000000000000e+01 7.993629882999999609e+03 5.721999999999999886e+01
2.019000000000000000e+03 9.000000000000000000e+00 2.500000000000000000e+01 8.077379882999999609e+03 5.638000000000000256e+01
2.019000000000000000e+03 9.000000000000000000e+00 2.600000000000000000e+01 8.030660155999999915e+03 5.624000000000000199e+01
2.019000000000000000e+03 9.000000000000000000e+00 2.700000000000000000e+01 7.939629882999999609e+03 5.595000000000000284e+01
2.019000000000000000e+03 9.000000000000000000e+00 3.000000000000000000e+01 7.999339844000000085e+03 5.409000000000000341e+01
2.019000000000000000e+03 1.000000000000000000e+01 1.000000000000000000e+00 7.908680176000000756e+03 5.360000000000000142e+01
2.019000000000000000e+03 1.000000000000000000e+01 2.000000000000000000e+00 7.785250000000000000e+03 5.267000000000000171e+01
2.019000000000000000e+03 1.000000000000000000e+01 3.000000000000000000e+00 7.872259765999999217e+03 5.240999999999999659e+01
2.019000000000000000e+03 1.000000000000000000e+01 4.000000000000000000e+00 7.982470215000000280e+03 5.284000000000000341e+01
2.019000000000000000e+03 1.000000000000000000e+01 7.000000000000000000e+00 7.956290039000000434e+03 5.275999999999999801e+01
2.019000000000000000e+03 1.000000000000000000e+01 8.000000000000000000e+00 7.823779784999999720e+03 5.264000000000000057e+01
2.019000000000000000e+03 1.000000000000000000e+01 9.000000000000000000e+00 7.903740234000000783e+03 5.263000000000000256e+01
2.019000000000000000e+03 1.000000000000000000e+01 1.000000000000000000e+01 7.950779784999999720e+03 5.357000000000000028e+01
2.019000000000000000e+03 1.000000000000000000e+01 1.100000000000000000e+01 8.057040039000000434e+03 5.475999999999999801e+01
2.019000000000000000e+03 1.000000000000000000e+01 1.400000000000000000e+01 8.048649901999999202e+03 5.357000000000000028e+01
2.019000000000000000e+03 1.000000000000000000e+01 1.500000000000000000e+01 8.148709960999999566e+03 5.281000000000000227e+01
2.019000000000000000e+03 1.000000000000000000e+01 1.600000000000000000e+01 8.124180176000000756e+03 5.342000000000000171e+01
2.019000000000000000e+03 1.000000000000000000e+01 1.700000000000000000e+01 8.156850098000000798e+03 5.389000000000000057e+01
