data	cotacao
16-04-2018	1.238
13-04-2018	1.233
12-04-2018	1.233
11-04-2018	1.237
10-04-2018	1.236
09-04-2018	1.232
06-04-2018	1.228
05-04-2018	1.224
04-04-2018	1.228
03-04-2018	1.227
02-04-2018	1.230
30-03-2018	1.232
29-03-2018	1.230
28-03-2018	1.231
27-03-2018	1.240
26-03-2018	1.244
23-03-2018	1.235
22-03-2018	1.230
21-03-2018	1.234
20-03-2018	1.224
19-03-2018	1.234
16-03-2018	1.229
15-03-2018	1.231
14-03-2018	1.237
13-03-2018	1.239
12-03-2018	1.233
09-03-2018	1.231
08-03-2018	1.231
07-03-2018	1.241
06-03-2018	1.240
05-03-2018	1.234
02-03-2018	1.232
01-03-2018	1.227
28-02-2018	1.219
27-02-2018	1.223
26-02-2018	1.232
23-02-2018	1.229
22-02-2018	1.233
21-02-2018	1.228
20-02-2018	1.234
19-02-2018	1.241
16-02-2018	1.241
15-02-2018	1.251
14-02-2018	1.245
13-02-2018	1.235
12-02-2018	1.229
09-02-2018	1.224
08-02-2018	1.225
07-02-2018	1.226
06-02-2018	1.238
05-02-2018	1.237
02-02-2018	1.246
01-02-2018	1.251
31-01-2018	1.242
30-01-2018	1.240
29-01-2018	1.238
26-01-2018	1.242
25-01-2018	1.240
24-01-2018	1.241
23-01-2018	1.230
22-01-2018	1.226
19-01-2018	1.222
18-01-2018	1.224
17-01-2018	1.219
16-01-2018	1.226
15-01-2018	1.226
12-01-2018	1.219
11-01-2018	1.203
10-01-2018	1.195
09-01-2018	1.194
08-01-2018	1.197
05-01-2018	1.203
04-01-2018	1.207
03-01-2018	1.201
02-01-2018	1.206
01-01-2018	1.201
29-12-2017	1.200
28-12-2017	1.194
27-12-2017	1.189
26-12-2017	1.186
25-12-2017	1.187
22-12-2017	1.186
21-12-2017	1.187
20-12-2017	1.187
19-12-2017	1.184
18-12-2017	1.178
15-12-2017	1.175
14-12-2017	1.178
13-12-2017	1.183
12-12-2017	1.174
11-12-2017	1.177
08-12-2017	1.176
07-12-2017	1.177
06-12-2017	1.180
05-12-2017	1.183
04-12-2017	1.187
01-12-2017	1.189
30-11-2017	1.190
29-11-2017	1.185
28-11-2017	1.184
27-11-2017	1.190
24-11-2017	1.193
23-11-2017	1.185
22-11-2017	1.182
